"Substance name","Description","EC No.","CAS No.","Reason for inclusion","Date of inclusion","IUCLID dataset","Remarks"
"Hexahydro-3-methylphthalic anhydride","","260-566-1","57110-29-9","Respiratory sensitising properties (Article 57(f) - human health)","19-Dec-2012","https://echa.europa.eu/documents/10162/bd282c4d-91b6-4537-9f27-b65a5fccbd48""""https://echa.europa.eu/documents/10162/670b8e64-298e-4ed7-939f-67da04164a42""""https://echa.europa.eu/documents/10162/7e96ce49-1e77-4333-8e0e-35892531aa5c""""https://echa.europa.eu/documents/10162/081b759a-1aae-42d9-9f62-4051fb9187bc",""
"Heptacosafluorotetradecanoic acid","","206-803-4","376-06-7","vPvB (Article 57e)","19-Dec-2012","https://echa.europa.eu/documents/10162/de2ad408-ea06-484e-9015-ac6af581863c",""
"Henicosafluoroundecanoic acid","","218-165-4","2058-94-8","vPvB (Article 57e)","19-Dec-2012","https://echa.europa.eu/documents/10162/60adb1fb-d001-4a2a-b8bf-a0e05e29d156",""
"Furan","","203-727-3","110-00-9","Carcinogenic (Article 57a)","19-Dec-2012","https://echa.europa.eu/documents/10162/f2a41a5f-68db-44e9-a925-2446de4ec9b1",""
"Fatty acids, C16-18, lead salts","","292-966-7","91031-62-8","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/575f1c14-49f5-4a3d-9368-ebbb989edcf4",""
"Dioxobis(stearato)trilead","","235-702-8","12578-12-0","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/2b533763-b36b-481c-a7b2-ff28b898d343",""
"Dinoseb (6-sec-butyl-2,4-dinitrophenol)","","201-861-7","88-85-7","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/876747a8-aa98-42f4-bf6c-7ca2be3fed59",""
"Dimethyl sulphate","","201-058-1","77-78-1","Carcinogenic (Article 57a)","19-Dec-2012","https://echa.europa.eu/documents/10162/5182ed44-1e76-4374-898d-0e8cef94f7cb",""
"Diisopentyl phthalate","","210-088-4","605-50-5","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/cf490b69-0c28-453b-a531-e8c2ad32d22c",""
"Diethyl sulphate","","200-589-6","64-67-5","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)","19-Dec-2012","https://echa.europa.eu/documents/10162/296efee3-75ed-4ead-a79c-28a3f48d2d90",""
"Dibutyltin dichloride (DBTC)","","211-670-0","683-18-1","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/f06ebc42-a92c-43a4-828a-a7c95ea2c961",""
"Diazene-1,2-dicarboxamide (C,C'-azodi(formamide)) (ADCA)","","204-650-8","123-77-3","Respiratory sensitising properties (Article 57(f) - human health)","19-Dec-2012","https://echa.europa.eu/documents/10162/055d66a6-9924-4386-900c-62c52c42bc62",""
"Cyclohexane-1,2-dicarboxylic anhydride","all possible combinations of the cis- and trans-isomers","-","-","Respiratory sensitising properties (Article 57(f) - human health)","19-Dec-2012","https://echa.europa.eu/documents/10162/542f4e26-c203-4587-a498-fbf33c9edeba""""https://echa.europa.eu/documents/10162/d0d33d3f-8361-48a5-b5a9-5db91928b4c5""""https://echa.europa.eu/documents/10162/dca0c593-37d7-4257-9ad9-14059e525771",""
"trans-cyclohexane-1,2-dicarboxylic anhydride","","238-009-9","14166-21-3","Respiratory sensitising properties (Article 57(f) - human health)","19-Dec-2012","https://echa.europa.eu/documents/10162/542f4e26-c203-4587-a498-fbf33c9edeba""""https://echa.europa.eu/documents/10162/d0d33d3f-8361-48a5-b5a9-5db91928b4c5""""https://echa.europa.eu/documents/10162/dca0c593-37d7-4257-9ad9-14059e525771",""
"Cyclohexane-1,2-dicarboxylic anhydride","","201-604-9","85-42-7","Respiratory sensitising properties (Article 57(f) - human health)","19-Dec-2012","https://echa.europa.eu/documents/10162/542f4e26-c203-4587-a498-fbf33c9edeba""""https://echa.europa.eu/documents/10162/d0d33d3f-8361-48a5-b5a9-5db91928b4c5""""https://echa.europa.eu/documents/10162/dca0c593-37d7-4257-9ad9-14059e525771",""
"cis-cyclohexane-1,2-dicarboxylic anhydride","","236-086-3","13149-00-3","Respiratory sensitising properties (Article 57(f) - human health)","19-Dec-2012","https://echa.europa.eu/documents/10162/542f4e26-c203-4587-a498-fbf33c9edeba""""https://echa.europa.eu/documents/10162/d0d33d3f-8361-48a5-b5a9-5db91928b4c5""""https://echa.europa.eu/documents/10162/dca0c593-37d7-4257-9ad9-14059e525771",""
"Bis(pentabromophenyl) ether (decabromodiphenyl ether) (DecaBDE)","","214-604-9","1163-19-5","PBT (Article 57d)""""vPvB (Article 57e)","19-Dec-2012","https://echa.europa.eu/documents/10162/64b5b9c4-c549-4254-a917-0ff1b7c9fa1b",""
"Biphenyl-4-ylamine","","202-177-1","92-67-1","Carcinogenic (Article 57a)","19-Dec-2012","https://echa.europa.eu/documents/10162/22458f36-2a5f-4c1c-83b8-b8a9c45bda95",""
"Acetic acid, lead salt, basic","","257-175-3","51404-69-4","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/5848ac0e-7286-4ec4-9185-49042cf54408",""
"[Phthalato(2-)]dioxotrilead","","273-688-5","69011-06-9","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/430ee50c-c98e-4e96-a689-d556fdd06665",""
"6-methoxy-m-toluidine (p-cresidine)","","204-419-1","120-71-8","Carcinogenic (Article 57a)","19-Dec-2012","https://echa.europa.eu/documents/10162/5c6a3acb-99f9-4561-a0a5-47b33f13c1f0",""
"4-Nonylphenol, branched and linear","substances with a linear and/or branched alkyl chain with a carbon number of 9 covalently bound in position 4 to phenol, covering also UVCB- and well-defined substances which include any of the individual isomers or a combination thereof","-","-","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"p-(1-methyloctyl)phenol","","241-427-4","17404-66-9","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"p-isononylphenol","","247-770-6","26543-97-5","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"4-(1-Ethyl-1,4-dimethylpentyl)phenol","","-","142731-63-3","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"4-(1-Ethyl-1,3-dimethylpentyl)phenol","","-","186825-36-5","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"p-(1,1-dimethylheptyl)phenol","","250-339-5","30784-30-6","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"4-(1-ethyl-1-methylhexyl)phenol","","257-907-1","52427-13-1","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"p-nonylphenol","","203-199-4","104-40-5","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"Phenol, 4-nonyl-, branched","","284-325-5","84852-15-3","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"Phenol, nonyl-, branched","","291-844-0","90481-04-2","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"4-(1,1,5-Trimethylhexyl)phenol","","-","521947-27-3","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"Nonylphenol","","246-672-0","25154-52-3","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"4-(3-ethylheptan-2-yl)phenol","","-","186825-39-8","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"Isononylphenol","","234-284-4","11066-49-2","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/80751a04-fdb3-4bef-aabe-cc49da2a1148",""
"4-methyl-m-phenylenediamine (toluene-2,4-diamine)","","202-453-1","95-80-7","Carcinogenic (Article 57a)","19-Dec-2012","https://echa.europa.eu/documents/10162/0ffceb1b-180c-4965-a526-0b2d4b73c675",""
"4-aminoazobenzene","","200-453-6","60-09-3","Carcinogenic (Article 57a)","19-Dec-2012","https://echa.europa.eu/documents/10162/4740aca7-2e63-4f48-adf0-8c98bb12244c",""
"4-(1,1,3,3-tetramethylbutyl)phenol, ethoxylated","covering well-defined substances and UVCB substances, polymers and homologues","-","-","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/f6ae4ec7-0a73-45eb-bafb-43e37bd3b42e",""
"2-[2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethoxy]ethanol","","-","2315-61-9","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/f6ae4ec7-0a73-45eb-bafb-43e37bd3b42e",""
"2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethanol","","-","2315-67-5","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/f6ae4ec7-0a73-45eb-bafb-43e37bd3b42e",""
"20-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-3,6,9,12,15,18-hexaoxaicosan-1-ol","","219-682-8","2497-59-8","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/f6ae4ec7-0a73-45eb-bafb-43e37bd3b42e",""
"Polyethylene glycol p-(1,1,3,3-tetramethylbutyl)phenyl ether","","-","9002-93-1","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/f6ae4ec7-0a73-45eb-bafb-43e37bd3b42e",""
"Poly(oxy-1,2-ethanediyl), α-[(1,1,3,3-tetramethylbutyl)phenyl]-ω-hydroxy-","","-","9036-19-5","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2012","https://echa.europa.eu/documents/10162/f6ae4ec7-0a73-45eb-bafb-43e37bd3b42e",""
"4,4'-oxydianiline and its salts","","-","-","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)","19-Dec-2012","https://echa.europa.eu/documents/10162/390a50ab-4461-49fb-87da-b366f77c105b",""
"4,4'-oxydianiline","","202-977-0","101-80-4","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)","19-Dec-2012","https://echa.europa.eu/documents/10162/390a50ab-4461-49fb-87da-b366f77c105b",""
"4,4'-methylenedi-o-toluidine","","212-658-8","838-88-0","Carcinogenic (Article 57a)","19-Dec-2012","https://echa.europa.eu/documents/10162/7fabc585-9a8c-4105-99ad-4083a41b2310",""
"3-ethyl-2-methyl-2-(3-methylbutyl)-1,3-oxazolidine","ZOLDINE MS-PLUS","421-150-7","143860-04-2","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/c2ba8775-69b2-4dbe-b725-54e8219f10ae",""
"1-bromopropane (n-propyl bromide)","","203-445-0","106-94-5","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/0fde3877-5c84-4343-ad20-a3327752a13a",""
"1,2-diethoxyethane","","211-076-1","629-14-1","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/8393ce5a-9456-4abb-b6ba-008e68941823",""
"1,2-Benzenedicarboxylic acid, dipentyl ester, branched and linear","","284-032-2","84777-06-0","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/6f9bf9c8-8442-48fe-b38e-4dca50adea4c",""
"α,α-Bis[4-(dimethylamino)phenyl]-4 (phenylamino)naphthalene-1-methanol (C.I. Solvent Blue 4)","with ≥ 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)","229-851-8","6786-83-0","Carcinogenic (Article 57a)","18-Jun-2012","https://echa.europa.eu/documents/10162/09c5c1e5-3d1f-4c79-8d8a-f142e7dc42ab",""
"N,N,N',N'-tetramethyl-4,4'-methylenedianiline (Michler’s base)","","202-959-2","101-61-1","Carcinogenic (Article 57a)","18-Jun-2012","https://echa.europa.eu/documents/10162/bb71dff3-cbb8-42e4-8d18-529e5876b710",""
"Lead(II) bis(methanesulfonate)","-","401-750-5","17570-76-2","Toxic for reproduction (Article 57c)","18-Jun-2012","https://echa.europa.eu/documents/10162/71993287-68f1-43c4-a13e-326ad171b80c",""
"Formamide","","200-842-0","75-12-7","Toxic for reproduction (Article 57c)","18-Jun-2012","https://echa.europa.eu/documents/10162/a330365d-7a44-43a1-a896-0fec7f34c4e6",""
"Diboron trioxide","","215-125-8","1303-86-2","Toxic for reproduction (Article 57c)","18-Jun-2012","https://echa.europa.eu/documents/10162/de509422-112a-4234-8e67-3260d2051364",""
"[4-[[4-anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene]cyclohexa-2,5-dien-1-ylidene] dimethylammonium chloride (C.I. Basic Blue 26)","with ≥ 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)","219-943-6","2580-56-5","Carcinogenic (Article 57a)","18-Jun-2012","https://echa.europa.eu/documents/10162/e788094b-c091-40fc-af06-0cb993da22ef",""
"[4-[4,4'-bis(dimethylamino) benzhydrylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride (C.I. Basic Violet 3)","with ≥ 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)","208-953-6","548-62-9","Carcinogenic (Article 57a)","18-Jun-2012","https://echa.europa.eu/documents/10162/2b47d136-adc9-46de-88c8-4ac990880005",""
"4,4'-bis(dimethylamino)benzophenone (Michler’s ketone)","","202-027-5","90-94-8","Carcinogenic (Article 57a)","18-Jun-2012","https://echa.europa.eu/documents/10162/a32d3dd2-1045-457b-9a6b-988bc641e662",""
"4,4'-bis(dimethylamino)-4''-(methylamino)trityl alcohol","with ≥ 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)","209-218-2","561-41-1","Carcinogenic (Article 57a)","18-Jun-2012","https://echa.europa.eu/documents/10162/0bc3c72f-1e50-45e7-98c4-595639fe3010",""
"1,3,5-tris[(2S and 2R)-2,3-epoxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione (β-TGIC)","-","423-400-0","59653-74-6","Mutagenic (Article 57b)","18-Jun-2012","https://echa.europa.eu/documents/10162/1b1db3da-9d3c-4dd9-aec6-82e5f2bb9681",""
"1,3,5-Tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione (TGIC)","","219-514-3","2451-62-9","Mutagenic (Article 57b)","18-Jun-2012","https://echa.europa.eu/documents/10162/5e64cc7a-5599-48af-86ea-4cd5d853cb9a",""
"1,2-bis(2-methoxyethoxy)ethane (TEGDME; triglyme)","","203-977-3","112-49-2","Toxic for reproduction (Article 57c)","18-Jun-2012","https://echa.europa.eu/documents/10162/077454da-571b-43dd-98c6-ce04427310e9",""
"1, 2-dimethoxyethane; ethylene glycol dimethyl ether (EGDME)","","203-794-9","110-71-4","Toxic for reproduction (Article 57c)","18-Jun-2012","https://echa.europa.eu/documents/10162/964d2219-db3d-4fd4-8fb4-5264b7cea5ab",""
"Zirconia Aluminosilicate Refractory Ceramic Fibres","are fibres covered by index number 650-017-00-8 in Annex VI, part 3, table 3.1 of Regulation (EC) No 1272/2008 of the European Parliament and of the Council of 16 December 2008 on classification, labelling and packaging of substances and mixtures, and fulfil the three following conditions: a) oxides of aluminium, silicon and zirconium are the main components present (in the fibres) within variable concentration ranges b) fibres have a length weighted geometric mean diameter less two standard geometric errors of 6 or less micrometres (µm). c) alkaline oxide and alkali earth oxide (Na2O+K2O+CaO+MgO+BaO) content less or equal to 18% by weight","-","-","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/a9f47855-ffbe-4312-84f9-8d74aa409f00",""
"Refractories, fibers, aluminosilicate","","-","142844-00-6","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/a9f47855-ffbe-4312-84f9-8d74aa409f00",""
"Trilead diarsenate","","222-979-5","3687-31-8","Carcinogenic (Article 57a)""""Toxic for reproduction (Article 57c)","19-Dec-2011","https://echa.europa.eu/documents/10162/18ce9105-2407-45b5-852b-5329e6042900",""
"Potassium hydroxyoctaoxodizincatedichromate","","234-329-8","11103-86-9","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/2869cfe1-049b-43b2-a1b0-c8503d2c2586",""
"Phenolphthalein","","201-004-7","77-09-8","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/2cc034c5-ecbf-4c6c-8de4-9085c3e4f2a0",""
"Pentazinc chromate octahydroxide","","256-418-0","49663-84-5","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/3acce581-104b-4f80-8b0b-94728b9d501c",""
"N,N-dimethylacetamide","","204-826-4","127-19-5","Toxic for reproduction (Article 57c)","19-Dec-2011","https://echa.europa.eu/documents/10162/f3d28fdc-113a-454a-9de2-e5fa2bb7786d",""
"Lead styphnate","","239-290-0","15245-44-0","Toxic for reproduction (Article 57c)","19-Dec-2011","https://echa.europa.eu/documents/10162/940e8b74-d5c3-446e-a041-b86297a880c6",""
"Lead dipicrate","","229-335-2","6477-64-1","Toxic for reproduction (Article 57c)","19-Dec-2011","https://echa.europa.eu/documents/10162/0a46d3e7-e3be-46bc-886b-d04e944ad448",""
"Lead diazide, Lead azide","","236-542-1","13424-46-9","Toxic for reproduction (Article 57c)","19-Dec-2011","https://echa.europa.eu/documents/10162/cacccb51-ab67-4ee5-803f-f147d01feddc",""
"Formaldehyde, oligomeric reaction products with aniline","","500-036-1","25214-70-4","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/3ccc2258-f2d9-4330-b218-b781178c00a2",""
"Dichromium tris(chromate)","","246-356-2","24613-89-6","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/3d86d90e-9593-4987-9856-639068f57402",""
"Calcium arsenate","","231-904-5","7778-44-1","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/00c3ba78-f33e-461f-9fdd-4c365f2b5b23",""
"Bis(2-methoxyethyl) phthalate","","204-212-6","117-82-8","Toxic for reproduction (Article 57c)","19-Dec-2011","https://echa.europa.eu/documents/10162/5d0a79ed-4557-4a6c-8017-fda04a4eb326",""
"Bis(2-methoxyethyl) ether","","203-924-4","111-96-6","Toxic for reproduction (Article 57c)","19-Dec-2011","https://echa.europa.eu/documents/10162/169db6b2-a42d-46f3-8daf-a7d8385e84b4",""
"Arsenic acid","","231-901-9","7778-39-4","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/c61d2694-b4f4-41c0-93da-68e959341b9c",""
"Aluminosilicate Refractory Ceramic Fibres","are fibres covered by index number 650-017-00-8 in Annex VI, part 3, table 3.1 of Regulation (EC) No 1272/2008 of the European Parliament and of the Council of 16 December 2008 on classification, labelling and packaging of substances and mixtures, and fulfil the three following conditions: a) oxides of aluminium and silicon are the main components present (in the fibres) within variable concentration ranges b) fibres have a length weighted geometric mean diameter less two standard geometric errors of 6 or less micrometres (µm) c) alkaline oxide and alkali earth oxide (Na2O+K2O+CaO+MgO+BaO) content less or equal to 18% by weight","-","-","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/71a6c340-4c9c-41d9-8c26-6e8d3236e456",""
"Refractories, fibers, aluminosilicate","","-","142844-00-6","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/71a6c340-4c9c-41d9-8c26-6e8d3236e456",""
"4-(1,1,3,3-tetramethylbutyl)phenol","","205-426-2","140-66-9","Endocrine disrupting properties (Article 57(f) - environment)","19-Dec-2011","https://echa.europa.eu/documents/10162/4c196bd6-2a91-4cb1-82ae-c65cb8a637ac",""
"2-Methoxyaniline, o-Anisidine","","201-963-1","90-04-0","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/80f2ea14-b438-4ae6-bbcd-b6b214c7ae04",""
"2,2'-dichloro-4,4'-methylenedianiline","","202-918-9","101-14-4","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/40909414-f320-4c4d-8519-3b9895c794e1",""
"1,2-dichloroethane","","203-458-1","107-06-2","Carcinogenic (Article 57a)","19-Dec-2011","https://echa.europa.eu/documents/10162/9e0c9155-9ec9-489a-976d-4312ab5838cf",""
"Strontium chromate","","232-142-6","7789-06-2","Carcinogenic (Article 57a)","20-Jun-2011","https://echa.europa.eu/documents/10162/dbf5f0a3-13f7-4dcc-9638-be11aa9796bc",""
"Hydrazine","","206-114-9","302-01-2, 7803-57-8","Carcinogenic (Article 57a)","20-Jun-2011","https://echa.europa.eu/documents/10162/8c489ab1-cc43-4655-9fdf-9ba8faffec98",""
"2-ethoxyethyl acetate","","203-839-2","111-15-9","Toxic for reproduction (Article 57c)","20-Jun-2011","https://echa.europa.eu/documents/10162/a4d1618e-1de0-45ee-95d4-7c0b97f8f4bb",""
"1-Methyl-2-pyrrolidone (NMP)","","212-828-1","872-50-4","Toxic for reproduction (Article 57c)","20-Jun-2011","https://echa.europa.eu/documents/10162/2a739583-e50d-458f-860b-2170d391621d",""
"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters","","271-084-6","68515-42-4","Toxic for reproduction (Article 57c)","20-Jun-2011","https://echa.europa.eu/documents/10162/607fe319-a2a5-412f-9411-7fe86a8dd261",""
"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkyl esters, C7-rich","","276-158-1","71888-89-6","Toxic for reproduction (Article 57c)","20-Jun-2011","https://echa.europa.eu/documents/10162/23661523-674a-4366-bf5d-8597e97f09a5",""
"1,2,3-trichloropropane","","202-486-1","96-18-4","Carcinogenic (Article 57a)""""Toxic for reproduction (Article 57c)","20-Jun-2011","https://echa.europa.eu/documents/10162/5c763e23-3df9-4568-990f-df7d38977711",""
"Cobalt(II) sulphate","","233-334-2","10124-43-3","Carcinogenic (Article 57a)""""Toxic for reproduction (Article 57c)","15-Dec-2010","https://echa.europa.eu/documents/10162/6156179b-31de-4d5a-8bde-4c596e132251",""
"Cobalt(II) dinitrate","","233-402-1","10141-05-6","Carcinogenic (Article 57a)""""Toxic for reproduction (Article 57c)","15-Dec-2010","https://echa.europa.eu/documents/10162/b0db8920-3429-46d7-9788-9f327712301d",""
"Cobalt(II) diacetate","","200-755-8","71-48-7","Carcinogenic (Article 57a)""""Toxic for reproduction (Article 57c)","15-Dec-2010","https://echa.europa.eu/documents/10162/b7623ce3-4a1d-4b72-8bd3-b40872dde269",""
"Cobalt(II) carbonate","","208-169-4","513-79-1","Carcinogenic (Article 57a)""""Toxic for reproduction (Article 57c)","15-Dec-2010","https://echa.europa.eu/documents/10162/8724ec6d-5db0-4768-a9a9-43174499cde5",""
"Chromium trioxide","","215-607-8","1333-82-0","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)","15-Dec-2010","https://echa.europa.eu/documents/10162/26e69088-ff48-41b2-86be-ad93559d4c1d",""
"Acids generated from chromium trioxide and their oligomers","","-","-","Carcinogenic (Article 57a)","15-Dec-2010","https://echa.europa.eu/documents/10162/e49af511-8109-4671-87c9-d1929bd1f9df""""https://echa.europa.eu/documents/10162/b3342013-b216-403f-b9f6-ea2d704d45e3",""
"Oligomers of chromic acid and dichromic acid","","-","-","Carcinogenic (Article 57a)","15-Dec-2010","https://echa.europa.eu/documents/10162/e49af511-8109-4671-87c9-d1929bd1f9df""""https://echa.europa.eu/documents/10162/b3342013-b216-403f-b9f6-ea2d704d45e3",""
"Dichromic acid","","236-881-5","13530-68-2","Carcinogenic (Article 57a)","15-Dec-2010","https://echa.europa.eu/documents/10162/e49af511-8109-4671-87c9-d1929bd1f9df""""https://echa.europa.eu/documents/10162/b3342013-b216-403f-b9f6-ea2d704d45e3",""
"Chromic acid","","231-801-5","7738-94-5","Carcinogenic (Article 57a)","15-Dec-2010","https://echa.europa.eu/documents/10162/e49af511-8109-4671-87c9-d1929bd1f9df""""https://echa.europa.eu/documents/10162/b3342013-b216-403f-b9f6-ea2d704d45e3",""
"2-methoxyethanol","","203-713-7","109-86-4","Toxic for reproduction (Article 57c)","15-Dec-2010","https://echa.europa.eu/documents/10162/2c32ce81-9fe4-4bec-ab99-cefb0db64f70",""
"2-ethoxyethanol","","203-804-1","110-80-5","Toxic for reproduction (Article 57c)","15-Dec-2010","https://echa.europa.eu/documents/10162/16b140dd-f4a7-4b4c-a7c4-696ff16785ea",""
"Trichloroethylene","","201-167-4","79-01-6","Carcinogenic (Article 57a)","18-Jun-2010","https://echa.europa.eu/documents/10162/bf5436ce-44ed-49c8-b7e6-51804d3cb0a5",""
"Tetraboron disodium heptaoxide, hydrate","","235-541-3","12267-73-1","Toxic for reproduction (Article 57c)","18-Jun-2010","https://echa.europa.eu/documents/10162/b743c746-3dd3-4ddb-83f9-8446d5615222",""
"Sodium chromate","","231-889-5","7775-11-3","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Toxic for reproduction (Article 57c)","18-Jun-2010","https://echa.europa.eu/documents/10162/604acc0d-b03f-4c88-b9e1-574a0709b463",""
"Potassium dichromate","","231-906-6","7778-50-9","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Toxic for reproduction (Article 57c)","18-Jun-2010","https://echa.europa.eu/documents/10162/cb89dff1-a881-4c96-98aa-058ddaf85532",""
"Potassium chromate","","232-140-5","7789-00-6","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)","18-Jun-2010","https://echa.europa.eu/documents/10162/6ca9ac30-7102-4c5a-9eb8-bbcefc64c411",""
"Disodium tetraborate, anhydrous","","215-540-4","12179-04-3, 1303-96-4, 1330-43-4","Toxic for reproduction (Article 57c)","18-Jun-2010","https://echa.europa.eu/documents/10162/423223b2-23c6-4203-a1c5-c1e4cf47e854",""
"Boric acid","EC No. 233-139-2 and EC No. 234-343-4","-","-","Toxic for reproduction (Article 57c)","18-Jun-2010","https://echa.europa.eu/documents/10162/cad21145-7d6a-4c1f-b640-80cfe475b45c""""https://echa.europa.eu/documents/10162/910d71c0-785a-4b54-997a-6b4396389739",""
"Boric acid, crude natural","","234-343-4","11113-50-1","Toxic for reproduction (Article 57c)","18-Jun-2010","https://echa.europa.eu/documents/10162/cad21145-7d6a-4c1f-b640-80cfe475b45c""""https://echa.europa.eu/documents/10162/910d71c0-785a-4b54-997a-6b4396389739",""
"Boric acid","","233-139-2","10043-35-3","Toxic for reproduction (Article 57c)","18-Jun-2010","https://echa.europa.eu/documents/10162/cad21145-7d6a-4c1f-b640-80cfe475b45c""""https://echa.europa.eu/documents/10162/910d71c0-785a-4b54-997a-6b4396389739",""
